NOMBRE	FECHA DE LICENCIAMIENTO	DEPARTAMENTO/PROVINCIA	TIPO DE GESTION	DIRECCION	ZIPCODE
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua	14-08-2018	Amazonas/Bagua	Pública	Jr. Ancash 520, Bagua 	01721
Universidad Continental	11-08-2018	Junín/Huancayo	Privada	Av San Carlos 1980, Huancayo 	12001
Universidad Autónoma del Perú	30-07-2018	Lima/Lima	Privada	Panamericana Sur Km. 16.3, Villa EL Salvador	15842
Universidad Nacional de Cajamarca	17-07-2018	Cajamarca/Cajamarca	Pública	Av. Atahualpa Km. 3, Cajamarca	06003
Universidad Nacional Autónoma de Alto Amazonas	29-06-2018	Loreto/Alto Amazonas	Pública	Libertad 1169, Yurimaguas 	16501
Universidad Nacional Tecnológica De Lima Sur	21-06-2018	Lima/Lima	Pública	Sector 3 Grupo 1A 03, Av. Central, Villa EL Salvador 	15834
Universidad Jaime Bausate y Meza	17-06-2018	Lima/Lima	Privada	Jirón Rio de Janeiro 560, Jesús María 	15072
Universidad Nacional Jorge Basadre Grohmann	13-06-2018	Tacna/Tacna	Pública	Av. Cusco 708, Tacna 	23003
Universidad Peruana Unión	07-06-2018	Lima/Lima	Privada	Carretera Central Km 19.5 Ñaña, Chosica	15464
Universidad Nacional de San Cristóbal de Huamanga	01-06-2018	Ayacucho/Huamanga	Pública	VQ3J+265, Ayacucho 	05001
Universidad Nacional de Barranca	24-05-2018	Lima/Barranca	Pública	Jr. Toribio de Luzuriaga N°376, Barranca 	15169
Escuela De Posgrado-Gerens S.A.C.	17-05-2018	Lima/Lima	Privada	Santiago de Surco Av, Av. Primavera 1050, Lima 	15037
Universidad Científica del Sur	02-05-2018	Lima/Lima	Privada	UCSUR Campus Villa II, Ctra. Panamericana S 19, Villa EL Salvador 	15067
Universidad ESAN	10-04-2018	Lima/Lima	Privada	Jr. Alonso de Molina 1652, Santiago de Surco 	15023
Universidad Nacional Mayor de San Marcos	04-04-2018	Lima/Lima	Pública	Calle Germán Amézaga 375	15801
Universidad Privada Antenor Orrego	29-03-2018	La Libertad/Trujillo	Privada	Av. Ciro Alegria s/n cuadra 2 Urb, Chorrillos 	15057
Universidad Nacional Intercultural de la selva central Juan Santos Atahualpa	23-03-2018	Junín/Chanchamayo	Pública	Av. José Carlos Mariátegui Mz.78, Mazamari 	12301
